sku_id,producto,precio_unitario,almacen_id
HW-0064,AMD Ryzen 9 7950X,1084.25,103
HW-0065,Intel Core i7-13700K,757.6,101
HW-0066,Corsair Vengeance DDR5 32GB,461.7,103
HW-0067,Samsung 990 Pro 1TB,191.25,105
HW-0068,Logitech G502,800.4,104
HW-0069,Corsair Vengeance DDR5 32GB,728.13,105
HW-0070,Samsung 990 Pro 1TB,256.0,102
HW-0071,NVIDIA RTX 4080,1088.08,105
HW-0072,Logitech G502,1153.09,102
HW-0073,Logitech G502,259.66,102
HW-0074,Samsung 990 Pro 1TB,841.12,104
HW-0075,Samsung 990 Pro 1TB,53.25,105
HW-0076,Samsung 990 Pro 1TB,615.8,105
HW-0077,Samsung 990 Pro 1TB,126.3,105
HW-0078,AMD Ryzen 9 7950X,887.05,101
HW-0079,NVIDIA RTX 4080,848.07,104
HW-0080,Samsung 990 Pro 1TB,288.91,104
HW-0081,Intel Core i7-13700K,1119.84,101
HW-0082,Samsung 990 Pro 1TB,839.18,105
HW-0083,AMD Ryzen 9 7950X,539.13,105
HW-0084,Logitech G502,903.7,101
HW-0085,Logitech G502,512.88,105
HW-0086,Intel Core i7-13700K,224.97,101
HW-0087,AMD Ryzen 9 7950X,521.86,103
HW-0088,Intel Core i7-13700K,425.14,103
HW-0089,Samsung 990 Pro 1TB,53.22,101
HW-0090,Samsung 990 Pro 1TB,996.01,105
HW-0091,Samsung 990 Pro 1TB,772.92,105
HW-0092,NVIDIA RTX 4080,322.38,104
HW-0093,NVIDIA RTX 4080,1012.95,105
HW-0094,AMD Ryzen 9 7950X,986.07,105
HW-0095,Intel Core i7-13700K,733.32,105
HW-0096,Intel Core i7-13700K,856.97,104
HW-0097,Logitech G502,139.77,102
HW-0098,Intel Core i7-13700K,211.06,104
HW-0099,AMD Ryzen 9 7950X,1157.25,101
HW-0100,AMD Ryzen 9 7950X,273.02,102
HW-0101,NVIDIA RTX 4080,244.96,103
HW-0102,Corsair Vengeance DDR5 32GB,966.82,104
HW-0103,Corsair Vengeance DDR5 32GB,1194.05,101
HW-0104,Corsair Vengeance DDR5 32GB,870.71,104
HW-0105,Samsung 990 Pro 1TB,425.93,102
HW-0106,NVIDIA RTX 4080,642.68,102
HW-0107,Corsair Vengeance DDR5 32GB,757.52,105
HW-0108,NVIDIA RTX 4080,1143.15,103
HW-0109,Corsair Vengeance DDR5 32GB,881.73,103
HW-0110,Corsair Vengeance DDR5 32GB,178.19,104
HW-0111,Logitech G502,137.69,104
HW-0112,Corsair Vengeance DDR5 32GB,138.87,102
HW-0113,NVIDIA RTX 4080,183.05,101
HW-0114,Logitech G502,412.41,105
HW-0115,Corsair Vengeance DDR5 32GB,1014.77,102
HW-0116,Samsung 990 Pro 1TB,822.19,105
HW-0117,Samsung 990 Pro 1TB,950.97,105
HW-0118,Corsair Vengeance DDR5 32GB,950.22,104
HW-0119,Intel Core i7-13700K,348.45,105
HW-0120,Corsair Vengeance DDR5 32GB,1063.06,103
HW-0121,Logitech G502,1051.37,101
HW-0122,Logitech G502,617.76,102
HW-0123,AMD Ryzen 9 7950X,226.36,101
HW-0124,Corsair Vengeance DDR5 32GB,798.8,101
HW-0125,Intel Core i7-13700K,854.13,101
HW-0126,NVIDIA RTX 4080,495.24,102
HW-0127,NVIDIA RTX 4080,843.21,103
HW-0128,NVIDIA RTX 4080,250.27,102
HW-0129,AMD Ryzen 9 7950X,812.2,103
HW-0130,Samsung 990 Pro 1TB,500.88,101
HW-0131,AMD Ryzen 9 7950X,632.1,102
HW-0132,Samsung 990 Pro 1TB,1142.21,101
HW-0133,NVIDIA RTX 4080,62.11,103
HW-0134,Samsung 990 Pro 1TB,995.98,102
HW-0135,Corsair Vengeance DDR5 32GB,522.03,104
HW-0136,Logitech G502,644.22,105
HW-0137,NVIDIA RTX 4080,714.52,103
HW-0138,Logitech G502,859.35,103
HW-0139,Intel Core i7-13700K,1109.93,104
HW-0140,Samsung 990 Pro 1TB,139.68,103
HW-0141,Corsair Vengeance DDR5 32GB,229.9,105
HW-0142,Logitech G502,1130.18,103
HW-0143,NVIDIA RTX 4080,798.29,104
HW-0144,Corsair Vengeance DDR5 32GB,803.89,105
HW-0145,Corsair Vengeance DDR5 32GB,934.81,102
HW-0146,Corsair Vengeance DDR5 32GB,780.66,102
HW-0147,Samsung 990 Pro 1TB,543.88,102
HW-0148,AMD Ryzen 9 7950X,414.47,104
HW-0149,Intel Core i7-13700K,1015.11,101
HW-0150,Corsair Vengeance DDR5 32GB,1020.59,105
HW-0151,Logitech G502,147.27,105
HW-0152,Logitech G502,1186.76,101
HW-0153,AMD Ryzen 9 7950X,481.84,105
HW-0154,AMD Ryzen 9 7950X,815.64,101
HW-0155,Intel Core i7-13700K,525.93,104
HW-0156,Intel Core i7-13700K,678.17,104
HW-0157,Samsung 990 Pro 1TB,1138.13,102
HW-0158,NVIDIA RTX 4080,504.08,103
HW-0159,Corsair Vengeance DDR5 32GB,274.99,102
HW-0160,Samsung 990 Pro 1TB,124.9,102
HW-0161,Corsair Vengeance DDR5 32GB,1118.77,104
HW-0162,AMD Ryzen 9 7950X,558.12,104
HW-0163,Intel Core i7-13700K,115.33,105
HW-0164,Samsung 990 Pro 1TB,1172.39,102
HW-0165,Samsung 990 Pro 1TB,754.8,102
HW-0166,Corsair Vengeance DDR5 32GB,1040.71,101
HW-0167,NVIDIA RTX 4080,194.86,105
HW-0168,Intel Core i7-13700K,732.87,105
HW-0169,Intel Core i7-13700K,152.88,102
HW-0170,Samsung 990 Pro 1TB,196.38,105
HW-0171,Logitech G502,436.41,101
HW-0172,Intel Core i7-13700K,353.45,102
HW-0173,NVIDIA RTX 4080,138.53,105
HW-0174,Corsair Vengeance DDR5 32GB,264.77,101
HW-0175,Intel Core i7-13700K,173.49,105
HW-0176,Samsung 990 Pro 1TB,200.54,103
HW-0177,NVIDIA RTX 4080,613.56,103
HW-0178,AMD Ryzen 9 7950X,875.25,101
HW-0179,AMD Ryzen 9 7950X,552.38,101
HW-0180,Samsung 990 Pro 1TB,777.22,102
HW-0181,Intel Core i7-13700K,1159.67,104
HW-0182,Intel Core i7-13700K,1031.69,105
HW-0183,Corsair Vengeance DDR5 32GB,361.92,102
HW-0184,AMD Ryzen 9 7950X,1131.45,101
HW-0185,Logitech G502,1174.95,101
HW-0186,AMD Ryzen 9 7950X,1097.73,105
HW-0187,Samsung 990 Pro 1TB,907.5,105
HW-0188,Logitech G502,343.38,105
HW-0189,AMD Ryzen 9 7950X,279.73,104
HW-0190,Logitech G502,991.85,103
HW-0191,Samsung 990 Pro 1TB,1021.66,102
HW-0192,Logitech G502,686.36,103
HW-0193,Samsung 990 Pro 1TB,325.52,103
HW-0194,AMD Ryzen 9 7950X,726.33,102
HW-0195,AMD Ryzen 9 7950X,826.68,103
HW-0196,Samsung 990 Pro 1TB,596.22,101
HW-0197,Samsung 990 Pro 1TB,60.42,105
HW-0198,Logitech G502,918.24,102
HW-0199,AMD Ryzen 9 7950X,631.8,101
HW-0200,Samsung 990 Pro 1TB,347.83,101
HW-0201,Intel Core i7-13700K,626.95,103
HW-0202,Intel Core i7-13700K,86.18,105
HW-0203,Logitech G502,379.79,102
HW-0204,Corsair Vengeance DDR5 32GB,201.06,103
HW-0205,Samsung 990 Pro 1TB,1044.39,102
HW-0206,AMD Ryzen 9 7950X,1047.54,103
HW-0207,AMD Ryzen 9 7950X,555.73,103
HW-0208,Samsung 990 Pro 1TB,761.92,105
HW-0209,AMD Ryzen 9 7950X,604.16,103
HW-0210,Samsung 990 Pro 1TB,956.64,104
HW-0211,Samsung 990 Pro 1TB,908.88,104
HW-0212,AMD Ryzen 9 7950X,455.56,103
HW-0213,Logitech G502,334.43,101
HW-0214,AMD Ryzen 9 7950X,710.48,105
HW-0215,Samsung 990 Pro 1TB,695.69,103
HW-0216,Intel Core i7-13700K,529.16,105
HW-0217,Corsair Vengeance DDR5 32GB,148.63,105
HW-0218,Intel Core i7-13700K,602.54,102
HW-0219,AMD Ryzen 9 7950X,965.59,103
HW-0220,Intel Core i7-13700K,506.91,102
HW-0221,Corsair Vengeance DDR5 32GB,1110.74,103
HW-0222,NVIDIA RTX 4080,704.9,103
HW-0223,Corsair Vengeance DDR5 32GB,905.09,101
HW-0224,NVIDIA RTX 4080,1079.78,104
HW-0225,NVIDIA RTX 4080,915.6,101
HW-0226,Samsung 990 Pro 1TB,330.28,105
HW-0227,Intel Core i7-13700K,640.57,101
HW-0228,Corsair Vengeance DDR5 32GB,917.53,103
HW-0229,Samsung 990 Pro 1TB,464.9,103
HW-0230,Samsung 990 Pro 1TB,899.74,105
HW-0231,Intel Core i7-13700K,510.28,101
HW-0232,Corsair Vengeance DDR5 32GB,213.55,105
HW-0233,Logitech G502,554.64,103
HW-0234,Corsair Vengeance DDR5 32GB,722.06,102
HW-0235,Corsair Vengeance DDR5 32GB,864.04,105
HW-0236,Samsung 990 Pro 1TB,885.41,103
HW-0237,Samsung 990 Pro 1TB,938.07,103
HW-0238,Logitech G502,1062.03,102
HW-0239,NVIDIA RTX 4080,1089.07,101
HW-0240,AMD Ryzen 9 7950X,743.78,101
HW-0241,Intel Core i7-13700K,791.62,101
HW-0242,Samsung 990 Pro 1TB,620.12,101
HW-0243,NVIDIA RTX 4080,644.54,104
HW-0244,Corsair Vengeance DDR5 32GB,550.66,105
HW-0245,Corsair Vengeance DDR5 32GB,783.01,104
HW-0246,Logitech G502,1091.87,101
HW-0247,Logitech G502,383.3,104
HW-0248,NVIDIA RTX 4080,328.88,102
HW-0249,AMD Ryzen 9 7950X,1163.41,102
HW-0250,Corsair Vengeance DDR5 32GB,947.15,102
HW-0251,NVIDIA RTX 4080,247.5,105
HW-0252,Samsung 990 Pro 1TB,938.93,105
HW-0253,NVIDIA RTX 4080,699.37,101
HW-0254,Samsung 990 Pro 1TB,766.13,102
HW-0255,Samsung 990 Pro 1TB,531.12,103
HW-0256,Samsung 990 Pro 1TB,817.78,103
HW-0257,Intel Core i7-13700K,338.19,101
HW-0258,Corsair Vengeance DDR5 32GB,1108.68,104
HW-0259,Samsung 990 Pro 1TB,879.74,103
HW-0260,Samsung 990 Pro 1TB,638.39,101
HW-0261,Corsair Vengeance DDR5 32GB,864.64,105
HW-0262,Intel Core i7-13700K,691.94,103
HW-0263,Logitech G502,760.95,102
HW-0264,Intel Core i7-13700K,481.45,105
HW-0265,NVIDIA RTX 4080,399.58,105
HW-0266,Samsung 990 Pro 1TB,364.8,105
HW-0267,Corsair Vengeance DDR5 32GB,971.53,105
HW-0268,Logitech G502,942.13,103
HW-0269,Intel Core i7-13700K,127.16,105
HW-0270,Logitech G502,944.78,101
HW-0271,Samsung 990 Pro 1TB,119.13,104
HW-0272,Intel Core i7-13700K,578.61,103
HW-0273,Intel Core i7-13700K,244.14,102
HW-0274,Corsair Vengeance DDR5 32GB,338.01,101
HW-0275,Corsair Vengeance DDR5 32GB,697.07,102
HW-0276,AMD Ryzen 9 7950X,849.41,101
HW-0277,Intel Core i7-13700K,147.84,102
HW-0278,Intel Core i7-13700K,760.63,101
HW-0279,AMD Ryzen 9 7950X,419.32,105
HW-0280,Intel Core i7-13700K,695.21,104
HW-0281,Samsung 990 Pro 1TB,1124.81,103
HW-0282,Logitech G502,282.62,102
HW-0283,NVIDIA RTX 4080,1127.95,101
HW-0284,Intel Core i7-13700K,576.31,101
HW-0285,Samsung 990 Pro 1TB,1051.82,103
HW-0286,Corsair Vengeance DDR5 32GB,532.45,104
HW-0287,NVIDIA RTX 4080,87.09,105
HW-0288,Corsair Vengeance DDR5 32GB,1017.75,101
HW-0289,Samsung 990 Pro 1TB,1135.9,102
HW-0290,NVIDIA RTX 4080,1077.94,103
HW-0291,AMD Ryzen 9 7950X,930.29,105
HW-0292,AMD Ryzen 9 7950X,322.56,102
HW-0293,Logitech G502,1035.4,105
HW-0294,AMD Ryzen 9 7950X,214.61,105
HW-0295,AMD Ryzen 9 7950X,1187.96,103
HW-0296,Intel Core i7-13700K,613.38,104
HW-0297,Corsair Vengeance DDR5 32GB,973.17,104
HW-0298,Intel Core i7-13700K,717.27,105
HW-0299,Corsair Vengeance DDR5 32GB,1080.55,103
HW-0300,Logitech G502,67.2,101
HW-0301,Intel Core i7-13700K,649.16,101
HW-0302,AMD Ryzen 9 7950X,191.65,105
HW-0303,NVIDIA RTX 4080,935.49,104
HW-0304,Logitech G502,518.01,104
HW-0305,Intel Core i7-13700K,683.19,105
HW-0306,NVIDIA RTX 4080,1126.24,105
HW-0307,Logitech G502,778.61,105
HW-0308,Logitech G502,609.44,105
HW-0309,Samsung 990 Pro 1TB,1162.87,101
HW-0310,Corsair Vengeance DDR5 32GB,1165.64,104
HW-0311,Intel Core i7-13700K,316.97,101
HW-0312,AMD Ryzen 9 7950X,837.83,103
HW-0313,Corsair Vengeance DDR5 32GB,1068.79,104
HW-0314,Logitech G502,634.51,102
HW-0315,Logitech G502,186.97,101
HW-0316,Logitech G502,1061.66,104
HW-0317,AMD Ryzen 9 7950X,662.11,104
HW-0318,NVIDIA RTX 4080,575.06,104
HW-0319,Logitech G502,145.69,101
HW-0320,Corsair Vengeance DDR5 32GB,801.67,102
HW-0321,Corsair Vengeance DDR5 32GB,849.63,102
HW-0322,Samsung 990 Pro 1TB,462.89,102
HW-0323,Logitech G502,1180.75,102
HW-0324,Intel Core i7-13700K,347.29,105
HW-0325,Intel Core i7-13700K,672.02,102
HW-0326,Intel Core i7-13700K,323.13,103
HW-0327,NVIDIA RTX 4080,684.67,105
HW-0328,AMD Ryzen 9 7950X,217.77,103
HW-0329,AMD Ryzen 9 7950X,422.67,103
HW-0330,NVIDIA RTX 4080,154.65,103
HW-0331,AMD Ryzen 9 7950X,979.72,105
HW-0332,NVIDIA RTX 4080,363.45,101
HW-0333,Logitech G502,126.81,103
HW-0334,Intel Core i7-13700K,800.99,103
HW-0335,Intel Core i7-13700K,1144.46,104
HW-0336,AMD Ryzen 9 7950X,552.58,105
HW-0337,Corsair Vengeance DDR5 32GB,869.98,102
HW-0338,NVIDIA RTX 4080,432.09,102
HW-0339,Corsair Vengeance DDR5 32GB,511.69,102
HW-0340,Corsair Vengeance DDR5 32GB,443.41,105
HW-0341,Intel Core i7-13700K,338.6,102
HW-0342,Samsung 990 Pro 1TB,406.28,104
HW-0343,Logitech G502,137.35,103
HW-0344,Samsung 990 Pro 1TB,246.47,104
HW-0345,Intel Core i7-13700K,174.05,101
HW-0346,Intel Core i7-13700K,840.39,101
HW-0347,NVIDIA RTX 4080,108.82,103
HW-0348,Intel Core i7-13700K,982.65,101
HW-0349,Corsair Vengeance DDR5 32GB,959.16,103
HW-0350,NVIDIA RTX 4080,992.68,104
HW-0351,Logitech G502,123.81,101
HW-0352,Intel Core i7-13700K,63.5,105
HW-0353,NVIDIA RTX 4080,364.49,104
HW-0354,Samsung 990 Pro 1TB,1149.62,105
HW-0355,Corsair Vengeance DDR5 32GB,197.65,101
HW-0356,Corsair Vengeance DDR5 32GB,227.03,101
HW-0357,AMD Ryzen 9 7950X,454.33,101
HW-0358,AMD Ryzen 9 7950X,488.06,101
HW-0359,Intel Core i7-13700K,642.99,102
HW-0360,NVIDIA RTX 4080,690.98,103
HW-0361,Samsung 990 Pro 1TB,843.09,102
HW-0362,NVIDIA RTX 4080,669.3,105
HW-0363,AMD Ryzen 9 7950X,561.88,102
HW-0364,Logitech G502,338.74,101
HW-0365,AMD Ryzen 9 7950X,1137.73,105
HW-0366,Logitech G502,258.69,102
HW-0367,AMD Ryzen 9 7950X,86.94,105
HW-0368,AMD Ryzen 9 7950X,881.12,101
HW-0369,AMD Ryzen 9 7950X,383.97,102
HW-0370,AMD Ryzen 9 7950X,212.39,103
HW-0371,AMD Ryzen 9 7950X,403.76,101
HW-0372,Logitech G502,976.06,103
HW-0373,Samsung 990 Pro 1TB,463.07,103
HW-0374,Logitech G502,324.39,105
HW-0375,NVIDIA RTX 4080,255.22,104
HW-0376,Intel Core i7-13700K,517.74,101
HW-0377,Corsair Vengeance DDR5 32GB,541.32,101
HW-0378,NVIDIA RTX 4080,918.02,101
HW-0379,AMD Ryzen 9 7950X,146.7,104
HW-0380,AMD Ryzen 9 7950X,538.91,104
HW-0381,Samsung 990 Pro 1TB,335.2,101
HW-0382,NVIDIA RTX 4080,1177.41,103
HW-0383,Logitech G502,247.98,102
HW-0384,Intel Core i7-13700K,348.15,105
HW-0385,Logitech G502,90.31,101
HW-0386,Samsung 990 Pro 1TB,458.42,104
HW-0387,Corsair Vengeance DDR5 32GB,956.38,105
HW-0388,Samsung 990 Pro 1TB,393.37,103
HW-0389,AMD Ryzen 9 7950X,964.17,101
HW-0390,Intel Core i7-13700K,840.53,103
HW-0391,NVIDIA RTX 4080,565.02,103
HW-0392,Samsung 990 Pro 1TB,173.76,102
HW-0393,Samsung 990 Pro 1TB,804.8,105
HW-0394,AMD Ryzen 9 7950X,572.41,105
HW-0395,Samsung 990 Pro 1TB,815.08,103
HW-0396,Intel Core i7-13700K,453.93,103
HW-0397,Samsung 990 Pro 1TB,790.01,102
HW-0398,NVIDIA RTX 4080,598.5,101
HW-0399,Intel Core i7-13700K,545.31,105
HW-0400,Samsung 990 Pro 1TB,337.95,101
HW-0401,Corsair Vengeance DDR5 32GB,557.2,102
HW-0402,AMD Ryzen 9 7950X,580.84,103
HW-0403,Intel Core i7-13700K,1189.63,105
HW-0404,Samsung 990 Pro 1TB,172.23,102
HW-0405,Intel Core i7-13700K,263.41,105
HW-0406,NVIDIA RTX 4080,997.38,101
HW-0407,AMD Ryzen 9 7950X,341.89,104
HW-0408,AMD Ryzen 9 7950X,394.43,101
HW-0409,Logitech G502,936.01,104
HW-0410,Logitech G502,342.43,103
HW-0411,NVIDIA RTX 4080,243.88,103
HW-0412,Intel Core i7-13700K,1124.53,101
HW-0413,NVIDIA RTX 4080,539.81,102
HW-0414,Samsung 990 Pro 1TB,821.24,104
HW-0415,Samsung 990 Pro 1TB,121.77,101
HW-0416,Samsung 990 Pro 1TB,645.66,103
HW-0417,Logitech G502,821.9,104
HW-0418,NVIDIA RTX 4080,453.2,101
HW-0419,Samsung 990 Pro 1TB,1095.0,105
HW-0420,AMD Ryzen 9 7950X,255.71,102
HW-0421,Samsung 990 Pro 1TB,851.19,105
HW-0422,Corsair Vengeance DDR5 32GB,941.55,104
HW-0423,Corsair Vengeance DDR5 32GB,312.58,101
HW-0424,Logitech G502,257.79,101
HW-0425,Samsung 990 Pro 1TB,349.06,103
HW-0426,AMD Ryzen 9 7950X,1080.92,101
HW-0427,Intel Core i7-13700K,779.23,105
HW-0428,Intel Core i7-13700K,995.4,105
HW-0429,Samsung 990 Pro 1TB,611.92,103
HW-0430,Logitech G502,366.5,101
HW-0431,Logitech G502,503.46,105
HW-0432,Samsung 990 Pro 1TB,139.64,105
HW-0433,Logitech G502,652.78,104
HW-0434,Samsung 990 Pro 1TB,622.8,102
HW-0435,NVIDIA RTX 4080,1174.43,104
HW-0436,Logitech G502,789.68,103
HW-0437,Samsung 990 Pro 1TB,986.61,103
HW-0438,Intel Core i7-13700K,1003.99,104
HW-0439,AMD Ryzen 9 7950X,1045.75,103
HW-0440,Intel Core i7-13700K,769.81,101
HW-0441,Samsung 990 Pro 1TB,740.69,101
HW-0442,Intel Core i7-13700K,1010.73,102
HW-0443,NVIDIA RTX 4080,395.89,102
HW-0444,AMD Ryzen 9 7950X,819.85,102
HW-0445,Samsung 990 Pro 1TB,328.47,101
HW-0446,AMD Ryzen 9 7950X,417.74,101
HW-0447,Corsair Vengeance DDR5 32GB,502.38,101
HW-0448,Intel Core i7-13700K,426.61,103
HW-0449,Intel Core i7-13700K,1027.39,105
HW-0450,AMD Ryzen 9 7950X,378.06,103
HW-0451,Corsair Vengeance DDR5 32GB,637.7,104
HW-0452,Intel Core i7-13700K,339.32,101
HW-0453,AMD Ryzen 9 7950X,265.98,105
HW-0454,Logitech G502,902.02,102
HW-0455,Corsair Vengeance DDR5 32GB,233.56,102
HW-0456,Corsair Vengeance DDR5 32GB,942.56,105
HW-0457,Intel Core i7-13700K,308.09,105
HW-0458,AMD Ryzen 9 7950X,818.39,103
HW-0459,AMD Ryzen 9 7950X,710.52,104
HW-0460,AMD Ryzen 9 7950X,373.06,102
HW-0461,Samsung 990 Pro 1TB,121.72,103
HW-0462,NVIDIA RTX 4080,322.9,103
HW-0463,AMD Ryzen 9 7950X,1153.07,103
HW-0464,Logitech G502,550.56,102
HW-0465,Corsair Vengeance DDR5 32GB,147.15,104
HW-0466,Intel Core i7-13700K,631.64,101
HW-0467,Logitech G502,344.06,104
HW-0468,AMD Ryzen 9 7950X,768.33,103
HW-0469,Corsair Vengeance DDR5 32GB,274.38,104
HW-0470,AMD Ryzen 9 7950X,575.87,103
HW-0471,AMD Ryzen 9 7950X,764.48,105
HW-0472,NVIDIA RTX 4080,248.79,104
HW-0473,Samsung 990 Pro 1TB,543.81,102
HW-0474,Logitech G502,583.01,103
HW-0475,AMD Ryzen 9 7950X,216.28,105
HW-0476,NVIDIA RTX 4080,163.85,102
HW-0477,Samsung 990 Pro 1TB,190.59,104
HW-0478,Samsung 990 Pro 1TB,564.8,102
HW-0479,AMD Ryzen 9 7950X,949.52,101
HW-0480,AMD Ryzen 9 7950X,261.4,103
HW-0481,Logitech G502,327.26,101
HW-0482,Logitech G502,725.45,105
HW-0483,Corsair Vengeance DDR5 32GB,976.67,104
HW-0484,Intel Core i7-13700K,572.97,103
HW-0485,AMD Ryzen 9 7950X,608.7,102
HW-0486,NVIDIA RTX 4080,219.23,102
HW-0487,AMD Ryzen 9 7950X,72.1,104
HW-0488,Samsung 990 Pro 1TB,904.11,104
HW-0489,NVIDIA RTX 4080,545.99,101
HW-0490,Samsung 990 Pro 1TB,651.83,103
HW-0491,AMD Ryzen 9 7950X,665.64,102
HW-0492,Intel Core i7-13700K,348.14,104
HW-0493,AMD Ryzen 9 7950X,562.71,104
HW-0494,NVIDIA RTX 4080,982.32,103
HW-0495,Intel Core i7-13700K,1029.14,103
HW-0496,NVIDIA RTX 4080,1177.5,102
HW-0497,Intel Core i7-13700K,535.25,105
HW-0498,Logitech G502,1192.31,101
HW-0499,Corsair Vengeance DDR5 32GB,577.92,105
HW-0500,Samsung 990 Pro 1TB,321.45,101
HW-0501,Corsair Vengeance DDR5 32GB,348.34,103
HW-0502,Samsung 990 Pro 1TB,472.72,103
HW-0503,Intel Core i7-13700K,228.2,102
HW-0504,Logitech G502,85.74,101
HW-0505,NVIDIA RTX 4080,356.52,102
HW-0506,Logitech G502,1177.42,101
HW-0507,NVIDIA RTX 4080,1023.64,105
HW-0508,AMD Ryzen 9 7950X,188.13,105
HW-0509,Intel Core i7-13700K,1009.12,105
HW-0510,Logitech G502,832.77,105
HW-0511,AMD Ryzen 9 7950X,555.61,105
HW-0512,Samsung 990 Pro 1TB,947.3,102
HW-0513,NVIDIA RTX 4080,877.15,101
HW-0514,Logitech G502,307.06,102
HW-0515,Logitech G502,236.57,103
HW-0516,Logitech G502,304.46,101
HW-0517,NVIDIA RTX 4080,703.4,105
HW-0518,Corsair Vengeance DDR5 32GB,478.71,101
HW-0519,Samsung 990 Pro 1TB,502.21,103
HW-0520,Samsung 990 Pro 1TB,904.01,103
HW-0521,AMD Ryzen 9 7950X,782.52,102
HW-0522,NVIDIA RTX 4080,1035.7,104
HW-0523,NVIDIA RTX 4080,363.32,105
HW-0524,Corsair Vengeance DDR5 32GB,109.74,105
HW-0525,Corsair Vengeance DDR5 32GB,137.82,104
HW-0526,Intel Core i7-13700K,385.28,102
HW-0527,AMD Ryzen 9 7950X,423.76,103
HW-0528,AMD Ryzen 9 7950X,880.49,105
HW-0529,Corsair Vengeance DDR5 32GB,260.09,104
HW-0530,Samsung 990 Pro 1TB,821.77,101
HW-0531,NVIDIA RTX 4080,200.09,103
HW-0532,NVIDIA RTX 4080,178.9,101
HW-0533,Corsair Vengeance DDR5 32GB,319.77,103
HW-0534,AMD Ryzen 9 7950X,455.13,104
HW-0535,Logitech G502,751.28,105
HW-0536,AMD Ryzen 9 7950X,122.22,104
HW-0537,AMD Ryzen 9 7950X,331.68,101
HW-0538,AMD Ryzen 9 7950X,895.62,103
HW-0539,Samsung 990 Pro 1TB,50.72,102
HW-0540,Intel Core i7-13700K,1001.28,103
HW-0541,Corsair Vengeance DDR5 32GB,343.82,103
HW-0542,Logitech G502,1090.63,105
HW-0543,Samsung 990 Pro 1TB,485.72,105
HW-0544,Intel Core i7-13700K,625.87,101
HW-0545,NVIDIA RTX 4080,885.53,101
