Edad,Ingreso_Anual,Puntuacion_Gasto,Indice_Ahorro,Historial_Credito,target_column
16,55865,4,14017,0.46,Bajo Perfil
39,75883,26,16530,0.65,Estándar
40,74027,48,17106,0.48,Bajo Perfil
69,119752,75,24667,0.78,Premium
37,64582,58,15708,0.72,Estándar
43,104877,5,23906,1.0,Premium
39,68058,48,14077,0.77,Estándar
25,45510,66,13757,0.93,Estándar
53,97407,41,21265,0.2,Bajo Perfil
49,82461,43,18634,0.69,Estándar
49,94476,89,19478,0.79,Premium
29,76633,60,17854,0.92,Estándar
56,105321,15,22109,0.67,Estándar
23,57210,3,18184,0.85,Estándar
47,88172,100,16863,0.87,Premium
66,110672,25,25693,1.0,Premium
28,59661,59,14161,0.7,Estándar
33,77936,61,19003,0.54,Estándar
41,92360,35,26299,0.67,Estándar
33,69832,42,17566,0.73,Estándar
21,58519,28,18686,0.78,Estándar
40,73801,53,15342,0.87,Estándar
27,55578,28,10316,0.66,Estándar
45,74699,66,19403,0.76,Estándar
28,70873,8,23291,0.74,Estándar
58,102392,48,27507,0.82,Premium
30,54376,58,15006,0.46,Bajo Perfil
36,78011,41,20288,0.68,Estándar
49,104246,58,20683,0.69,Estándar
25,54530,16,14336,0.57,Estándar
42,68831,66,19895,0.83,Estándar
55,99908,61,23181,0.69,Estándar
20,51912,91,14103,0.9,Estándar
42,87763,67,17196,0.84,Premium
43,90714,61,19411,0.59,Estándar
49,94107,4,24324,0.83,Premium
25,55430,17,14430,0.7,Estándar
24,61485,9,15231,0.49,Bajo Perfil
46,78414,59,18658,0.56,Estándar
43,76749,66,16476,0.89,Estándar
43,78682,28,20822,0.67,Estándar
44,82465,14,21992,0.78,Estándar
31,55436,58,11755,0.84,Estándar
42,90777,31,23380,0.56,Estándar
43,74802,68,16145,0.6,Estándar
31,44992,16,13280,0.56,Bajo Perfil
62,120892,91,22939,0.51,Estándar
45,91624,86,20272,0.5,Bajo Perfil
25,57014,72,13177,0.58,Estándar
47,94246,23,19821,0.68,Estándar
28,62869,28,12681,0.98,Estándar
49,102808,43,22776,0.54,Estándar
53,93352,66,22078,0.55,Estándar
30,78880,14,20165,0.76,Estándar
51,104081,63,23965,0.79,Premium
44,81148,50,17825,0.69,Estándar
49,87372,50,21754,0.61,Estándar
62,114171,16,27821,0.5,Estándar
37,66510,80,13530,0.84,Estándar
30,63356,17,21532,0.62,Estándar
29,74267,82,13743,0.62,Estándar
30,66459,32,15319,0.53,Estándar
39,95254,48,23170,0.65,Estándar
44,79840,6,18075,0.81,Estándar
43,88118,50,18225,0.55,Estándar
49,89240,31,23070,0.88,Premium
40,78343,94,14642,0.42,Bajo Perfil
57,109502,54,23288,0.62,Estándar
36,68130,21,22530,0.67,Estándar
72,121103,51,27230,0.56,Estándar
47,86772,68,22256,0.82,Premium
29,59195,55,11319,0.83,Estándar
27,52421,81,13716,0.59,Estándar
45,99057,58,23387,0.7,Estándar
37,73069,69,16933,0.72,Estándar
48,98641,93,18886,0.76,Premium
45,93567,7,22444,0.7,Estándar
39,86699,88,19794,0.54,Estándar
29,52813,48,16321,0.78,Estándar
21,48704,27,12881,0.61,Estándar
34,76494,69,17116,0.8,Estándar
50,90077,42,20918,0.58,Estándar
42,94903,56,19440,0.67,Estándar
25,47674,96,9141,0.78,Estándar
42,89563,22,18675,0.9,Premium
44,82428,29,18472,0.73,Estándar
29,71905,32,17121,0.74,Estándar
41,83656,43,16965,0.46,Bajo Perfil
40,73236,37,20977,1.0,Estándar
26,65559,26,15719,0.63,Estándar
44,72173,92,17223,0.75,Estándar
46,86216,67,23369,0.59,Estándar
52,94353,33,24462,0.95,Premium
52,101457,63,23038,0.7,Estándar
23,32999,29,12641,0.65,Bajo Perfil
28,63865,66,13308,0.61,Estándar
46,91981,76,18330,0.63,Estándar
46,82645,66,19987,0.82,Estándar
46,86568,35,22262,1.0,Premium
86,149280,62,30630,0.69,Estándar
46,96569,26,24921,0.68,Estándar
53,82180,39,18997,0.67,Estándar
51,96041,71,18979,0.67,Estándar
47,94338,26,24070,0.6,Estándar
36,79004,4,22249,0.67,Estándar
49,91751,50,23446,0.67,Estándar
30,69589,29,20144,0.73,Estándar
37,74911,92,14895,0.85,Estándar
34,80014,95,16474,0.83,Estándar
40,73318,11,21958,0.56,Estándar
67,115197,86,24231,0.8,Premium
17,49192,50,13834,0.51,Estándar
48,97170,57,23631,0.73,Estándar
20,54018,56,17515,0.39,Bajo Perfil
34,67594,36,15506,0.56,Estándar
53,96220,33,21463,0.6,Estándar
40,79903,60,18038,0.65,Estándar
27,51685,74,10739,0.96,Estándar
31,59967,71,13875,0.56,Estándar
48,103691,63,20513,0.71,Estándar
31,65168,1,17184,0.59,Estándar
42,78807,81,16256,0.64,Estándar
40,75364,95,11077,0.61,Estándar
32,70326,85,15648,0.59,Estándar
65,134363,19,29713,0.59,Estándar
47,99702,91,22794,0.59,Estándar
15,32021,63,7400,0.66,Bajo Perfil
42,93265,88,15294,0.89,Premium
32,61327,69,16115,0.66,Estándar
50,89817,30,22284,0.51,Estándar
30,61268,93,12143,1.0,Estándar
38,67603,18,17837,0.71,Estándar
46,99286,84,21197,0.52,Estándar
50,90361,52,20815,0.72,Estándar
25,40714,90,8052,0.72,Bajo Perfil
35,65721,21,16709,1.0,Estándar
34,72580,81,18731,0.59,Estándar
32,54238,55,13359,0.4,Bajo Perfil
61,113658,20,27841,0.76,Premium
44,78893,92,12999,0.84,Estándar
24,64929,53,11805,0.72,Estándar
51,100141,10,23844,0.67,Estándar
65,118142,7,27313,0.67,Estándar
52,85607,72,19177,0.88,Premium
21,41182,81,10675,0.75,Bajo Perfil
34,66372,39,15637,0.62,Estándar
55,100669,83,20144,0.98,Premium
31,78730,76,17202,0.7,Estándar
45,89870,60,21383,0.67,Estándar
49,90434,42,23271,0.78,Premium
28,73800,51,14179,0.59,Estándar
39,77778,67,14995,0.63,Estándar
1,24975,9,8782,0.74,Bajo Perfil
27,72929,87,12381,0.87,Estándar
36,79732,6,18768,0.83,Estándar
25,61039,35,13722,0.68,Estándar
59,113149,18,27204,0.69,Estándar
22,52477,13,9677,0.55,Estándar
34,71332,51,17912,0.81,Estándar
41,68823,29,17016,0.56,Estándar
57,99829,75,20369,0.74,Estándar
22,52611,74,9292,0.61,Estándar
53,103207,8,24338,0.91,Premium
40,76527,99,15364,0.57,Estándar
28,81114,14,19270,0.79,Estándar
45,93788,73,16656,0.64,Estándar
42,84976,93,21422,0.61,Estándar
32,56439,74,10329,0.6,Estándar
40,79540,36,19954,0.58,Estándar
35,76587,98,17928,0.95,Estándar
41,80752,91,20353,0.72,Estándar
47,89432,80,19553,0.57,Estándar
59,107241,26,26401,0.59,Estándar
25,51875,99,8940,0.47,Bajo Perfil
65,107498,7,26405,0.67,Estándar
16,61475,40,16271,0.58,Estándar
38,68977,33,20451,0.76,Estándar
47,86760,79,20244,0.45,Bajo Perfil
43,86528,98,17821,0.73,Estándar
32,51552,30,13246,0.49,Bajo Perfil
37,87927,21,21613,0.82,Premium
34,80357,44,15903,0.59,Estándar
32,55972,52,11621,0.48,Bajo Perfil
50,92414,14,19599,0.78,Premium
44,93650,74,18744,0.78,Premium
31,66318,70,12446,0.89,Estándar
50,102997,31,21500,0.74,Estándar
43,96718,90,19752,0.67,Estándar
49,86865,44,18786,0.59,Estándar
47,94238,34,24731,0.74,Estándar
30,55369,81,11068,0.4,Bajo Perfil
33,65783,67,13597,0.63,Estándar
48,92553,33,22622,0.64,Estándar
47,91671,84,14639,0.67,Estándar
39,71703,22,20625,0.86,Estándar
41,86270,54,23216,0.88,Premium
55,90753,97,21032,0.68,Estándar
32,60950,56,14694,0.46,Bajo Perfil
46,97578,68,23946,0.92,Premium
37,69109,31,16178,0.59,Estándar
37,77673,42,18391,0.53,Estándar
53,112577,68,23564,0.63,Estándar
49,93354,14,21801,0.65,Estándar
49,104250,45,25560,0.63,Estándar
55,91664,69,20135,0.45,Bajo Perfil
40,75280,95,13755,0.71,Estándar
48,93768,17,23256,0.74,Estándar
36,65748,37,17570,0.5,Estándar
43,80796,52,17332,0.74,Estándar
38,78155,96,15759,0.85,Estándar
41,82840,100,15446,0.8,Estándar
47,87993,21,22380,0.82,Premium
30,50345,25,8573,0.77,Estándar
65,112326,43,26259,0.51,Estándar
27,49284,75,11888,0.51,Estándar
25,56896,69,13368,0.58,Estándar
53,99174,53,24389,0.8,Premium
49,92486,13,19288,0.62,Estándar
47,82953,53,20995,0.82,Estándar
47,77113,50,16732,0.75,Estándar
39,89930,95,19390,0.77,Premium
29,63655,79,14054,0.48,Bajo Perfil
40,77496,67,14874,0.86,Estándar
31,65961,90,12454,0.75,Estándar
51,85769,83,14696,0.6,Estándar
38,87306,23,23243,0.53,Estándar
30,59281,84,11855,0.63,Estándar
36,73096,56,15534,0.78,Estándar
44,89886,36,22468,0.6,Estándar
33,75239,86,12557,0.62,Estándar
30,64810,32,16316,0.51,Estándar
42,74753,8,16590,0.79,Estándar
42,87788,52,17027,0.59,Estándar
33,76300,9,15841,0.94,Estándar
34,80381,38,20482,0.58,Estándar
42,87342,52,15059,0.5,Bajo Perfil
22,69762,97,14266,0.6,Estándar
23,55690,61,10951,0.68,Estándar
31,68097,53,13052,0.56,Estándar
37,85335,85,20403,0.45,Bajo Perfil
43,97387,29,24111,0.77,Premium
57,116608,56,28171,0.63,Estándar
50,94358,28,25283,0.69,Estándar
38,83107,18,23560,0.91,Estándar
39,87002,53,20676,0.72,Estándar
27,60992,66,12773,0.56,Estándar
39,71713,15,16250,0.81,Estándar
36,65975,54,15114,0.69,Estándar
43,87514,66,18914,0.84,Premium
30,72012,34,16436,0.63,Estándar
46,85334,67,19023,0.66,Estándar
58,100877,50,23557,0.88,Premium
38,72875,68,12389,0.69,Estándar
44,87199,44,21648,0.93,Premium
48,98234,54,23167,0.71,Estándar
35,75482,51,18953,0.55,Estándar
42,83052,67,17830,0.84,Estándar
40,91119,12,21993,0.58,Estándar
41,103285,61,22487,0.81,Premium
30,65094,4,17631,0.76,Estándar
40,92859,29,20803,0.85,Premium
45,82002,39,19254,0.67,Estándar
57,114644,38,23005,0.78,Premium
51,89919,50,21539,0.47,Bajo Perfil
65,114667,77,24515,0.75,Premium
30,64677,57,16753,0.6,Estándar
50,79618,82,16934,0.79,Estándar
42,68419,92,12877,0.51,Estándar
66,112194,55,23266,0.52,Estándar
30,75590,77,17345,0.58,Estándar
29,61584,8,19096,0.74,Estándar
32,75322,49,17511,0.66,Estándar
14,27840,44,8354,0.71,Bajo Perfil
33,72379,81,17526,0.75,Estándar
30,68519,79,15916,0.69,Estándar
41,73820,88,12069,0.69,Estándar
44,100895,26,26228,0.77,Premium
62,102946,37,26768,0.73,Estándar
51,94557,8,23084,0.67,Estándar
33,89141,98,17863,0.91,Premium
29,55888,5,16541,0.86,Estándar
45,82529,11,23102,0.77,Estándar
24,57244,5,16822,0.62,Estándar
61,100879,16,23373,0.79,Premium
54,105133,100,22873,0.72,Estándar
34,56754,33,15098,0.84,Estándar
19,48507,99,10994,1.0,Estándar
56,115572,8,23880,0.78,Premium
38,82124,64,18847,0.86,Estándar
54,100672,52,24126,0.78,Premium
20,47426,4,13735,0.53,Estándar
32,67321,4,19138,0.62,Estándar
40,77701,8,20692,0.57,Estándar
40,83183,28,17640,0.77,Estándar
34,76158,80,16302,0.74,Estándar
47,91648,88,19480,0.92,Premium
27,66107,40,14480,0.9,Estándar
38,81111,24,18966,0.45,Bajo Perfil
41,71531,4,19504,0.73,Estándar
46,70316,1,20743,0.59,Estándar
48,93379,83,19039,0.98,Premium
26,55397,34,11268,0.59,Estándar
21,53122,30,14056,0.47,Bajo Perfil
55,115874,9,28110,0.66,Estándar
43,82355,12,17688,0.75,Estándar
31,68985,91,10803,0.52,Estándar
58,100236,80,18230,0.75,Premium
41,85434,87,14951,0.81,Premium
54,94749,80,20731,0.9,Premium
40,88006,29,24023,0.77,Premium
64,116982,90,22936,0.75,Estándar
61,110334,41,23588,0.79,Premium
37,62398,32,12970,0.68,Estándar
51,85516,95,19227,0.88,Premium
47,95140,26,24974,0.71,Estándar
56,113304,21,25001,0.89,Premium
28,63931,83,10324,0.57,Estándar
48,90177,9,22147,0.99,Premium
52,98386,89,19718,0.67,Estándar
18,45854,5,12583,0.86,Estándar
25,51873,13,16288,0.83,Estándar
15,31691,91,5932,0.91,Bajo Perfil
36,63268,14,17658,0.67,Estándar
48,86502,8,19152,1.0,Premium
58,107739,68,24903,0.66,Estándar
40,69370,30,18214,0.78,Estándar
59,107914,98,23562,0.72,Estándar
23,48491,11,14200,0.42,Bajo Perfil
19,35129,39,10027,0.7,Bajo Perfil
39,73361,73,13626,0.82,Estándar
44,87893,38,20730,0.91,Premium
39,73452,65,12698,0.64,Estándar
15,54319,76,8537,0.71,Estándar
38,81989,89,15753,0.58,Estándar
24,64435,31,15901,0.63,Estándar
48,116851,71,23008,0.68,Estándar
44,81422,48,18986,0.94,Estándar
28,50533,25,12338,0.88,Estándar
33,63220,80,12608,0.5,Estándar
27,61031,96,6851,0.79,Estándar
39,81638,57,18510,0.69,Estándar
51,97982,94,19498,0.64,Estándar
28,58421,83,9440,0.91,Estándar
46,92306,8,27880,0.78,Premium
33,78634,24,21769,0.72,Estándar
30,58978,18,12173,0.61,Estándar
38,69559,3,20119,0.89,Estándar
27,76213,81,16316,0.63,Estándar
33,60495,14,14995,0.72,Estándar
25,64275,54,9785,0.77,Estándar
63,112926,42,27050,0.75,Premium
40,91887,29,20994,0.92,Premium
31,64184,20,17621,0.6,Estándar
42,86180,28,19257,0.56,Estándar
38,66492,23,13684,0.81,Estándar
37,70075,85,14750,0.6,Estándar
47,92470,23,19613,0.76,Premium
49,88169,78,17442,0.76,Premium
33,59212,96,13003,0.82,Estándar
33,86494,94,15150,0.59,Estándar
36,73838,2,21256,0.66,Estándar
12,47167,68,12144,0.72,Estándar
21,66754,38,14125,0.62,Estándar
56,99818,3,25750,0.55,Estándar
59,107817,66,23494,0.66,Estándar
37,76115,80,12924,0.9,Estándar
46,92770,75,21084,0.74,Estándar
43,93436,78,19333,0.86,Premium
76,141808,73,30612,0.52,Estándar
53,105256,98,18264,0.91,Premium
38,74429,36,17265,0.78,Estándar
28,61935,18,17745,0.53,Estándar
20,39973,78,8628,0.79,Bajo Perfil
42,88700,91,15061,0.42,Bajo Perfil
30,83489,23,20789,0.52,Estándar
22,55097,95,11351,0.71,Estándar
32,79175,66,18345,0.63,Estándar
27,67205,3,19584,0.67,Estándar
60,105641,16,26568,0.55,Estándar
50,87920,31,21785,0.74,Estándar
39,69395,2,20387,0.51,Estándar
57,106466,56,23898,0.67,Estándar
40,84451,66,19989,0.74,Estándar
29,68370,1,15643,0.32,Bajo Perfil
58,97910,61,27401,0.84,Premium
46,98865,55,19249,0.7,Estándar
27,56065,37,13878,0.87,Estándar
37,76484,56,17081,0.6,Estándar
29,58359,43,15797,0.59,Estándar
23,45035,2,13162,0.62,Estándar
51,86415,74,18965,0.94,Premium
62,118687,81,25043,0.67,Estándar
23,54414,53,12860,0.99,Estándar
46,80199,94,16942,1.0,Estándar
32,63033,42,16734,0.81,Estándar
34,82385,25,19203,0.9,Estándar
32,75054,40,15256,0.9,Estándar
29,68409,91,13942,0.55,Estándar
40,96881,5,24397,0.65,Estándar
30,77022,13,19828,0.72,Estándar
43,84788,1,23976,0.7,Estándar
39,74157,36,15764,0.71,Estándar
37,96180,52,21872,0.55,Estándar
29,73146,81,15712,0.8,Estándar
33,65139,11,14064,0.46,Bajo Perfil
49,82849,72,17755,0.59,Estándar
46,71027,79,13822,0.63,Estándar
28,51763,66,12719,0.55,Estándar
41,77650,44,18112,0.84,Estándar
49,104212,45,21218,0.76,Premium
19,56417,49,14194,0.81,Estándar
46,91147,2,23229,0.57,Estándar
32,72922,47,19505,0.64,Estándar
46,82749,21,20853,0.61,Estándar
30,54538,58,10067,0.86,Estándar
18,45150,45,12379,0.74,Estándar
20,57900,23,14200,0.96,Estándar
40,80362,72,18024,0.99,Estándar
43,90174,65,19778,1.0,Premium
29,63793,90,12609,0.82,Estándar
47,80115,1,21640,0.51,Estándar
20,52302,19,11610,0.63,Estándar
39,75426,24,18965,0.6,Estándar
25,66176,55,13844,0.69,Estándar
32,55355,96,8819,0.62,Estándar
40,92258,21,23133,0.36,Bajo Perfil
29,53639,71,10897,0.7,Estándar
35,70235,40,16061,0.66,Estándar
52,86124,5,19753,0.99,Premium
33,77615,2,21156,0.57,Estándar
50,86084,7,23954,0.64,Estándar
26,54648,98,10163,0.77,Estándar
46,97311,96,20634,0.91,Premium
57,101429,26,23207,0.53,Estándar
10,34379,100,8162,0.77,Bajo Perfil
30,69673,1,20398,0.61,Estándar
46,91816,59,23053,0.38,Bajo Perfil
37,77211,33,18119,0.7,Estándar
44,81326,25,18896,0.75,Estándar
32,64854,89,18000,0.82,Estándar
41,84982,99,19801,0.74,Estándar
38,74709,3,19121,0.79,Estándar
54,103039,35,22084,0.72,Estándar
43,69137,19,19023,0.86,Estándar
44,85781,40,23365,0.85,Premium
35,76766,52,18840,0.67,Estándar
34,76302,70,18234,0.5,Estándar
34,69320,85,14934,0.9,Estándar
44,88553,56,21117,0.8,Premium
34,66169,5,16525,0.79,Estándar
43,95811,95,19155,0.7,Estándar
64,113274,55,26973,0.85,Premium
50,105202,98,20890,0.89,Premium
36,73119,99,15864,0.47,Bajo Perfil
54,91694,78,17086,0.72,Estándar
35,70632,37,16395,0.56,Estándar
15,34519,83,8753,0.53,Bajo Perfil
27,58312,74,12207,0.61,Estándar
17,37271,67,11837,0.67,Bajo Perfil
35,70674,79,13883,0.58,Estándar
40,87869,17,22084,0.36,Bajo Perfil
60,121452,71,26868,0.46,Bajo Perfil
43,79586,45,19437,1.0,Estándar
37,81294,64,18170,0.53,Estándar
49,105655,72,23002,0.85,Premium
13,30191,44,8203,0.87,Bajo Perfil
42,69297,65,15030,0.83,Estándar
49,82444,89,16411,0.84,Estándar
22,52618,80,8319,0.76,Estándar
53,82098,62,20850,0.55,Estándar
44,95181,19,23711,0.75,Premium
35,54630,55,13629,0.64,Estándar
47,90423,51,20665,1.0,Premium
67,123064,51,27333,0.71,Estándar
42,88534,73,18430,0.45,Bajo Perfil
42,92033,45,21678,0.93,Premium
34,84126,89,16279,0.93,Estándar
29,66640,96,16414,0.98,Estándar
49,88749,63,17156,0.69,Estándar
29,65008,13,15646,1.0,Estándar
40,83173,80,15828,0.67,Estándar
34,72924,1,21558,0.76,Estándar
45,83679,58,21653,0.93,Estándar
44,95663,38,23084,0.69,Estándar
52,94891,53,24387,0.65,Estándar
33,68548,23,15139,0.39,Bajo Perfil
36,67274,33,20072,0.98,Estándar
28,69419,95,17410,0.6,Estándar
34,88556,34,17893,0.83,Premium
44,95603,57,25122,0.67,Estándar
49,84911,7,22428,0.54,Estándar
28,55535,15,12594,0.86,Estándar
50,82512,47,15890,0.5,Bajo Perfil
56,106441,46,20917,0.68,Estándar
44,89850,39,23123,0.75,Premium
62,107599,31,24331,0.73,Estándar
30,60575,23,17241,0.83,Estándar
25,42280,60,12790,0.51,Bajo Perfil
18,46101,33,14240,1.0,Estándar
57,99927,70,18609,0.52,Estándar
47,85000,75,19367,0.73,Estándar
39,96809,61,22188,1.0,Premium
43,89840,31,23877,0.55,Estándar
26,58772,76,13863,0.71,Estándar
69,125290,52,27692,0.73,Estándar
41,77470,14,20061,0.98,Estándar
41,89251,83,16876,0.75,Premium
48,89813,67,16429,0.6,Estándar
45,78813,98,16229,0.6,Estándar
42,96045,16,27755,0.75,Premium
30,58703,27,15000,0.37,Bajo Perfil
45,103913,11,24224,0.56,Estándar
62,120258,92,24498,0.68,Estándar
56,109438,27,26480,0.78,Premium
59,100814,59,25037,0.98,Premium
33,81264,51,18559,0.6,Estándar
28,81131,85,15599,0.6,Estándar
38,68887,52,14906,0.43,Bajo Perfil
40,79346,55,20280,0.81,Estándar
53,92325,72,19719,0.76,Premium
19,45742,18,10926,1.0,Estándar
58,105634,15,27092,0.8,Premium
38,87360,49,16249,0.82,Premium
34,59606,39,16281,0.66,Estándar
27,66257,47,13990,0.6,Estándar
20,56073,73,13332,0.79,Estándar
49,86167,99,17116,0.52,Estándar
40,80191,47,21224,0.79,Estándar
24,51411,40,13710,0.36,Bajo Perfil
24,56977,52,15823,0.62,Estándar
35,87298,75,22238,0.92,Premium
60,103022,17,24742,0.67,Estándar
36,76376,24,21440,0.52,Estándar
21,44134,78,8113,0.66,Bajo Perfil
37,81307,60,19280,0.94,Estándar
36,76572,89,11430,0.38,Bajo Perfil
7,35261,10,11265,0.97,Bajo Perfil
39,74276,66,16069,0.99,Estándar
37,66371,8,16302,0.51,Estándar
48,79285,80,22718,0.8,Estándar
62,113075,76,22618,0.66,Estándar
53,103797,24,27888,0.8,Premium
36,77161,44,17752,0.98,Estándar
26,64888,15,16371,0.63,Estándar
70,120688,28,25550,0.71,Estándar
40,79235,4,19429,0.84,Estándar
40,61233,47,14165,0.7,Estándar
39,77408,5,22072,0.58,Estándar
42,96925,46,23141,0.45,Bajo Perfil
38,78485,62,17064,0.79,Estándar
33,85514,40,22082,0.76,Premium
33,72978,6,20759,0.83,Estándar
39,86484,30,22614,0.9,Premium
33,75199,87,16653,0.72,Estándar
31,73168,32,20979,0.68,Estándar
41,84123,14,20890,0.65,Estándar
36,80822,7,19867,0.75,Estándar
58,102936,47,21693,0.96,Premium
8,42729,84,7678,0.39,Bajo Perfil
53,111969,45,24966,0.68,Estándar
54,104159,9,21274,0.69,Estándar
15,39620,45,11220,0.58,Bajo Perfil
35,62849,92,11171,0.76,Estándar
35,75571,91,16319,0.56,Estándar
23,54345,98,8061,0.67,Estándar
30,59831,88,10501,0.86,Estándar
26,51127,95,7777,0.87,Estándar
61,103084,6,24904,0.99,Premium
51,96994,67,22725,0.5,Bajo Perfil
55,106366,91,24222,0.59,Estándar
48,96185,10,24156,0.79,Premium
26,84669,58,22821,0.87,Estándar
33,75325,13,23738,0.8,Estándar
45,96400,85,19048,0.43,Bajo Perfil
25,57545,32,14908,1.0,Estándar
48,80874,9,22211,0.5,Estándar
37,72124,78,18108,0.74,Estándar
35,86820,46,21772,0.29,Bajo Perfil
48,85392,11,23068,0.8,Premium
45,88163,31,22871,0.75,Estándar
35,72890,29,18722,0.6,Estándar
53,111858,71,22023,0.48,Bajo Perfil
27,64864,94,10586,0.78,Estándar
47,95383,22,21663,0.51,Estándar
47,89334,38,20238,0.74,Estándar
36,56114,18,18977,0.72,Estándar
43,81367,56,17824,0.61,Estándar
24,55832,72,14887,0.56,Estándar
51,97881,27,24236,0.65,Estándar
37,70055,13,12769,0.43,Bajo Perfil
33,58242,48,11542,0.8,Estándar
52,104138,82,20273,0.56,Estándar
31,63944,23,16301,0.28,Bajo Perfil
23,54433,93,13046,0.84,Estándar
21,37634,72,8843,0.73,Bajo Perfil
47,88584,11,22462,0.55,Estándar
24,61731,31,14601,0.76,Estándar
61,114026,76,23492,0.51,Estándar
15,39215,30,8275,0.48,Bajo Perfil
60,105696,41,21893,0.74,Estándar
42,81515,29,19620,0.68,Estándar
38,79893,34,19855,0.76,Estándar
33,72317,70,12915,0.74,Estándar
44,90468,79,18678,0.69,Estándar
39,85071,36,19117,0.57,Estándar
53,100408,37,25388,0.82,Premium
41,95308,52,21774,0.93,Premium
41,86793,35,20829,0.81,Premium
35,66552,1,15389,0.95,Estándar
39,81178,6,23688,0.57,Estándar
